name,price,img,description
Voyah Free,"
$42500

3797800сом
",https://im.mashina.kg/tachka/images//e/9/8/e98f430c78c950f9ed3597157a37252c_240x180.jpg,"

2023г.,1.5л.,автомат



внедорожник5дв.,гибрид

рульслева,10км
"
LiXiang L9,"
$66800

5969248сом
",https://im.mashina.kg/tachka/images//f/5/9/f59852dfc5d08990ee2893e3a8a35ebf_240x180.jpg,"

2023г.,1.5л.,автомат



внедорожник5дв.,гибрид

рульслева,5км
"
Toyota Land Cruiser,"
$45000

4021200сом
",https://im.mashina.kg/tachka/images//4/c/9/4c9f61ccf86b637f51c6049236f3c20d_240x180.jpg,"

2015г.,4.5л.,автомат



внедорожник5дв.,дизель

рульслева,160000км
"
Genesis GV80,"
$57000

5093520сом
",https://im.mashina.kg/tachka/images//8/a/7/8a719b56280e3c3fe61fac190c50c19a_240x180.jpg,"

2021г.,3.5л.,автомат



внедорожник5дв.,бензин

рульслева,5000км
"
LiXiang L9,"
$67000

5987120сом
",https://im.mashina.kg/tachka/images//9/6/0/960a23352310968d0aed66105105a2f0_240x180.jpg,"

2023г.,1.5л.,автомат



внедорожник5дв.,гибрид

рульслева,10км
"
Voyah Free,"
$43200

3860352сом
",https://im.mashina.kg/tachka/images//8/d/a/8dab5ec89cdfe79de80499fde74bf025_240x180.jpg,"

2023г.,1.5л.,автомат



внедорожник5дв.,гибрид

рульслева
"
Geely Monjaro,"
$30100

2689736сом
",https://im.mashina.kg/tachka/images//e/2/8/e285e64f3031dad1fd807eb9e1aebefc_240x180.jpg,"

2023г.,2л.,автомат



внедорожник5дв.,бензин

рульслева,5км
"
Volkswagen Touareg,"
$22900

2046344сом
",https://im.mashina.kg/tachka/images//a/4/8/a489492cb1b0c7595db3fc301f62b73e_240x180.jpg,"

2010г.,3.6л.,автомат



внедорожник5дв.,бензин

рульслева,280000км
"
Toyota Harrier,"
$11999

1072231сом
",https://im.mashina.kg/tachka/images//9/7/5/97589b43b9cfb67536b64b04a84fa236_240x180.jpg,"

2005г.,3л.,автомат



внедорожник5дв.,бензин

рульсправа,197125км
"
Weltmeister EX5,"
$16500

1474440сом
",https://im.mashina.kg/tachka/images//0/9/0/0901778cb26d72fb49d2e0647f8e9587_240x180.jpg,"

2019г.,автомат



внедорожник5дв.,электро

рульслева,24000км
"
Mercedes-Benz G-класс AMG,"
$169000

15101840сом
",https://im.mashina.kg/tachka/images//a/1/8/a18fba0b93f185271bbda0b9de6f5549_240x180.jpg,"

2019г.,4л.,автомат



внедорожник5дв.,бензин

рульслева,95000км
"
Kia K5 II Седан,"
$17000

1519120сом
",https://im.mashina.kg/tachka/images//6/9/a/69a6e2f9e032f4d1dc1478ac3f59b7c8_240x180.jpg,"

2019г.,2л.,автомат



седан,газ

рульслева,125536км
"
Geely Monjaro,"
$30500

2725480сом
",https://im.mashina.kg/tachka/images//7/a/5/7a5283911b4b8e7d79e249d32048ed52_240x180.jpg,"

2023г.,2л.,автомат



внедорожник5дв.,бензин

рульслева,60км
"
Voyah Free,"
$43000

3842480сом
",https://im.mashina.kg/tachka/images//8/d/b/8db78ff39135079d5d4897189aaf29f8_240x180.jpg,"

2023г.,1.5л.,автомат



внедорожник5дв.,гибрид

рульслева,70км
"
Voyah Free,"
$44000

3931840сом
",https://im.mashina.kg/tachka/images//e/0/5/e05ab2665f2a7c5bd1c838319bdd60ec_240x180.jpg,"

2023г.,1.5л.,автомат



внедорожник5дв.,гибрид

рульслева,10км
"
BMW X7,"
$175000

15638000сом
",https://im.mashina.kg/tachka/images//f/0/1/f01e3d67fb4802fcb696954da88b23cc_240x180.jpg,"

2023г.,3л.,автомат



внедорожник5дв.,бензин

рульслева,1км
"
Lexus RX,"
$88000

7863680сом
",https://im.mashina.kg/tachka/images//e/b/a/ebab398a9058fafc9f06f7b70d2d286e_240x180.jpg,"

2023г.,2.4л.,автомат



внедорожник5дв.,бензин

рульслева,77км
"
Voyah Free,"
$42900

3833544сом
",https://im.mashina.kg/tachka/images//b/e/6/be6edf3e50e9657c2ed93e161003ad3c_240x180.jpg,"

2023г.,1.5л.,автомат



внедорожник5дв.,гибрид

рульслева,30км
"
Kia Morning,"
$8000

714880сом
",https://im.mashina.kg/tachka/images//0/6/3/0632b8adbaa983fba1eee7b3a33e6d52_240x180.jpg,"

2017г.,1л.,автомат



хэтчбек5дв.,бензин

рульслева,57000км
"
Kia Sportage,"
$40000

3574400сом
",https://im.mashina.kg/tachka/images//e/1/2/e1287a34b2d444025cc9bba0a5c9c93d_240x180.jpg,"

2022г.,2.5л.,автомат



внедорожник5дв.,бензин

рульслева,8500км
"
BMW X5,"
$14900

1331464сом
",https://im.mashina.kg/tachka/images//6/3/e/63ed5fb86c2c22a2b15ea71d603953a4_240x180.jpg,"

2005г.,3л.,автомат



внедорожник5дв.,дизель

рульслева,250000км
"
Toyota Highlander,"
$31000

2770160сом
",https://im.mashina.kg/tachka/images//f/4/4/f441660e508caee4d43af2bf01c55862_240x180.jpg,"

2017г.,3.5л.,автомат



внедорожник5дв.,бензин

рульслева,130000км
"
BYD Song Plus,"
$31500

2814840сом
",https://im.mashina.kg/tachka/images//1/f/c/1fc435b3b2a80f09673df251d07dfd86_240x180.jpg,"

2023г.,автомат



внедорожник5дв.,электро

рульслева,100км
"
BMW X5,"
$79000

7059440сом
",https://im.mashina.kg/tachka/images//2/9/8/2989a078233cf87e37634b760a7ec18b_240x180.jpg,"

2020г.,3л.,автомат



внедорожник5дв.,бензин

рульслева,80000км
"
Tesla Model Y,"
$45500

4065880сом
",https://im.mashina.kg/tachka/images//e/0/e/e0e19aefe6f61eaef370f87ff4e1e72f_240x180.jpg,"

2023г.,автомат



внедорожник5дв.,электро

рульслева,100км
"
Infiniti QX50,"
$35000

3127600сом
",https://im.mashina.kg/tachka/images//8/e/1/8e1466a739877c3c83209b04c2545c46_240x180.jpg,"

2021г.,3.7л.,автомат



внедорожник5дв.,бензин

рульслева,34400км
"
Toyota Highlander,"
$43000

3842480сом
",https://im.mashina.kg/tachka/images//a/7/c/a7c4c95f4401ff3ece7e6460e4c8891f_240x180.jpg,"

2021г.,3.5л.,автомат



внедорожник5дв.,бензин

рульслева,50000км
"
Mercedes-Benz GLK-класс,"
$11500

1027640сом
",https://im.mashina.kg/tachka/images//6/3/a/63a2bd1ce32bbca25afaa5534d299101_240x180.jpg,"

2008г.,3.5л.,автомат



внедорожник5дв.,бензин

рульслева,186019км
"
LiXiang L7,"
$58800

5254368сом
",https://im.mashina.kg/tachka/images//a/6/2/a62f306371b3e0176a861330a16141b6_240x180.jpg,"

2023г.,1.5л.,автомат



внедорожник5дв.,гибрид

рульслева,45км
"
Kia Sorento,"
$43000

3842480сом
",https://im.mashina.kg/tachka/images//3/d/f/3df7e9bf00e29a1aadddfc6e7caad8b1_240x180.jpg,"

2023г.,2.2л.,робот



внедорожник5дв.,дизель

рульслева,4500км
"
Lexus ES,"
$24500

2189320сом
",https://im.mashina.kg/tachka/images//f/b/7/fb7b41938c6a03a459d73115cf4c400f_240x180.jpg,"

2016г.,2л.,автомат



седан,бензин

рульслева,96000км
"
Voyah Free,"
$43000

3842480сом
",https://im.mashina.kg/tachka/images//0/b/e/0be83d1de713af22d18d9ed95fa8ca86_240x180.jpg,"

2023г.,1.5л.,автомат



внедорожник5дв.,гибрид

рульслева,15км
"
HiPhi Y,"
$72500

6478600сом
",https://im.mashina.kg/tachka/images//b/e/2/be2cb62e1bc52e82bdb04e295d9466db_240x180.jpg,"

2023г.,автомат



внедорожник5дв.,электро

рульслева,35км
"
BMW X5,"
$24000

2144640сом
",https://im.mashina.kg/tachka/images//6/5/f/65f27409c021b1e167685665c180429f_240x180.jpg,"

2013г.,3л.,автомат



внедорожник5дв.,бензин

рульслева,205000км
"
Toyota Prius,"
$12500

1117000сом
",https://im.mashina.kg/tachka/images//4/4/6/446d5cc700b92401bb1ba82489a3ce42_240x180.jpg,"

2014г.,1.8л.,автомат



хэтчбек5дв.,гибрид

рульслева,246000км
"
Lexus ES,"
$28500

2546760сом
",https://im.mashina.kg/tachka/images//e/e/1/ee109988b78a2065488e11a7faf1b50a_240x180.jpg,"

2017г.,2.5л.,вариатор



седан,гибрид

рульслева,103000км
"
BMW X4,"
$47000

4199920сом
",https://im.mashina.kg/tachka/images//0/e/d/0ed563ab6595e9c8607b26436473c61d_240x180.jpg,"

2019г.,2л.,автомат



внедорожник5дв.,дизель

рульслева,21000км
"
LiXiang L9,"
$69000

6165840сом
",https://im.mashina.kg/tachka/images//0/5/d/05dfd842ac254c917ec13a58c5e8e5f7_240x180.jpg,"

2023г.,1.5л.,автомат



внедорожник5дв.,гибрид

рульслева,53км
"
Voyah Free,"
$44500

3976520сом
",https://im.mashina.kg/tachka/images//a/6/3/a6383dd2e44db0322b8d5319111f6c62_240x180.jpg,"

2023г.,1.5л.,автомат



внедорожник5дв.,гибрид

рульслева,50км
"
Mercedes-Benz E-класс,"
$9200

822112сом
",https://im.mashina.kg/tachka/images//5/0/5/50585c56c0e8ed78a7388626ef692674_240x180.jpg,"

2007г.,2.1л.,автомат



седан,дизель

рульслева,172000км
"
Geely Atlas Pro,"
$22800

2037408сом
",https://im.mashina.kg/tachka/images//b/f/3/bf3b4db940210dd019c6736195186408_240x180.jpg,"

2023г.,1.5л.,автомат



внедорожник5дв.,бензин

рульслева,20км
"
Volkswagen Tiguan,"
$44300

3958648сом
",https://im.mashina.kg/tachka/images//b/9/4/b9469869b668de5f5904862985b76c57_240x180.jpg,"

2023г.,2л.,автомат



внедорожник5дв.,бензин

рульслева,20км
"
Toyota Highlander,"
$27700

2475272сом
",https://im.mashina.kg/tachka/images//5/a/c/5ac902b34639589d4b3936ec37f743f1_240x180.jpg,"

2017г.,3.5л.,автомат



внедорожник5дв.,бензин

рульслева,98000км
"
Subaru Outback,"
$16500

1474440сом
",https://im.mashina.kg/tachka/images//2/8/d/28da4efe2a6c37b8ceb3d411e69d06eb_240x180.jpg,"

2018г.,2.5л.,вариатор



универсал,бензин

рульслева,100000км
"
Toyota 4Runner,"
$20800

1858688сом
",https://im.mashina.kg/tachka/images//c/3/f/c3f27b9f4022fec986ec57bdc050df9b_240x180.jpg,"

2008г.,4л.,автомат



внедорожник5дв.,бензин

рульслева,210000км
"
LiXiang L9,"
$67500

6031800сом
",https://im.mashina.kg/tachka/images//1/9/9/199b52877e9cb4cc84831593f8365f67_240x180.jpg,"

2023г.,1.5л.,автомат



внедорожник5дв.,гибрид

рульслева,60км
"
Mercedes-Benz S-класс,"
$42000

3753120сом
",https://im.mashina.kg/tachka/images//8/e/5/8e5c1284a1fcd6be9e35c1f0018b21c5_240x180.jpg,"

2013г.,4.7л.,автомат



седан,бензин

рульслева,160000км
"
Lexus LS,"
$11500

1027640сом
",https://im.mashina.kg/tachka/images//4/0/3/403f50cf82144d166de2ee79047b791d_240x180.jpg,"

2007г.,4.6л.,автомат



седан,бензин

рульслева,190000км
"
Kia Sorento,"
$22000

1965920сом
",https://im.mashina.kg/tachka/images//2/d/d/2dd64f99237c63ed91ed65b5b9d6cf48_240x180.jpg,"

2016г.,2.2л.,автомат



внедорожник5дв.,дизель

рульслева,187694км
"
Voyah Free,"
$42800

3824608сом
",https://im.mashina.kg/tachka/images//3/b/8/3b8996fc061913e06e73ef0dbca65740_240x180.jpg,"

2023г.,1.5л.,автомат



внедорожник5дв.,гибрид

рульслева,20км
"
LiXiang L9,"
$66100

5906696сом
",https://im.mashina.kg/tachka/images//8/1/6/8162b0bc6f1c0f05701aef17fb460b05_240x180.jpg,"

2023г.,1.5л.,автомат



внедорожник5дв.,гибрид

рульслева,20км
"
Haval H5,"
$29500

2636120сом
",https://im.mashina.kg/tachka/images//0/d/3/0d3039b4547dbe5bb8fe4e3e8a400b1b_240x180.jpg,"

2023г.,2л.,автомат



внедорожник5дв.,бензин

рульслева,20км
"
BMW X5,"
$29999

2680711сом
",https://im.mashina.kg/tachka/images//c/c/6/cc6a8f7710795efb4e0e4ac969b5151c_240x180.jpg,"

2014г.,4.4л.,автомат



внедорожник5дв.,бензин

рульслева,150000км
"
Toyota Land Cruiser,"
$105000

9382800сом
",https://im.mashina.kg/tachka/images//1/2/0/1204107cded866e9f1a5c0ad512496ab_240x180.jpg,"

2023г.,3.4л.,автомат



внедорожник5дв.,бензин

рульслева,100км
"
Haval Raptor,"
$34500

3082920сом
",https://im.mashina.kg/tachka/images//2/a/6/2a65d20b854f9076d5fd405c96de1943_240x180.jpg,"

2023г.,1.5л.,автомат



внедорожник5дв.,гибрид

рульслева
"
Jetour Traveller,"
$36500

3261640сом
",https://im.mashina.kg/tachka/images//9/d/b/9dbb05a9bf062729e98e450c894b54ab_240x180.jpg,"

2023г.,2л.,робот



внедорожник5дв.,бензин

рульслева,5км
"
BMW X5,"
$50000

4468000сом
",https://im.mashina.kg/tachka/images//f/8/6/f8677261bc87790cc0f2830cc38254c6_240x180.jpg,"

2017г.,4.4л.,автомат



внедорожник5дв.,бензин

рульслева,68000км
"
Geely Coolray,"
$17700

1581672сом
",https://im.mashina.kg/tachka/images//1/2/6/1260683c4e928bccfd6c8320495a4d86_240x180.jpg,"

2023г.,1.5л.,робот



внедорожник5дв.,бензин

рульслева,5км
"
Kia K7,"
$16800

1501248сом
",https://im.mashina.kg/tachka/images//7/0/a/70a1b779838acc4bebe63fb002be4eff_240x180.jpg,"

2017г.,3л.,автомат



седан,газ

рульслева,191000км
"
BMW X5 M,"
$54000

4825440сом
",https://im.mashina.kg/tachka/images//9/5/5/9550e7f23d6e279ccde2658809c3f38e_240x180.jpg,"

2015г.,4.4л.,автомат



внедорожник5дв.,бензин

рульслева,103000км
"
BMW X5,"
$18000

1608480сом
",https://im.mashina.kg/tachka/images//f/2/a/f2a8439345e294e6f4a37525b9eee08b_240x180.jpg,"

2011г.,4.4л.,автомат



внедорожник5дв.,бензин

рульслева,141000км
"
Land Rover Range Rover Sport,"
$69500

6210520сом
",https://im.mashina.kg/tachka/images//7/a/0/7a0c1dd1a8749ff4482496350b3a4309_240x180.jpg,"

2019г.,3л.,автомат



внедорожник5дв.,бензин

рульслева
"
Toyota Highlander,"
$33500

2993560сом
",https://im.mashina.kg/tachka/images//4/b/8/4b8c37dea3bab8846853f9eaa955f11a_240x180.jpg,"

2021г.,3.5л.,автомат



внедорожник5дв.,бензин

рульслева,100000км
"
BMW 5 серии,"
$31500

2814840сом
",https://im.mashina.kg/tachka/images//0/8/6/0868ee3d7a3514cf049fe1cd26f88668_240x180.jpg,"

2017г.,2л.,автомат



седан,дизель

рульслева,120000км
"
Kia Sorento,"
$19500

1742520сом
",https://im.mashina.kg/tachka/images//a/b/c/abc2fce52be9f3978473c0da4af70bb7edb_240x180.jpg,"

2019г.,2.4л.,автомат



внедорожник5дв.,бензин

рульслева,87000км
"
Lexus RX,"
$14700

1313592сом
",https://im.mashina.kg/tachka/images//5/9/8/59816865903cbbc8494d8cfea87d0aae_240x180.jpg,"

2007г.,3.5л.,автомат



внедорожник5дв.,бензин

рульслева,218000км
"
LiXiang L7,"
$58000

5182880сом
",https://im.mashina.kg/tachka/images//d/1/4/d144cd6997180fd98fe7c0629af0ca2f_240x180.jpg,"

2023г.,1.5л.,автомат



внедорожник5дв.,гибрид

рульслева,9км
"
Honda Torneo,"
$8666

774394сом
",https://im.mashina.kg/tachka/images//8/4/b/84bd4b9aa98d21f3e3dfc4794a5df605_240x180.jpg,"

2000г.,2.2л.,механика



седан,бензин

рульсправа,178000км
"
GAC Trumpchi GS8,"
$34500

3082920сом
",https://im.mashina.kg/tachka/images//f/c/a/fca618f46053c8eb95b259e6b50f4526_240x180.jpg,"

2023г.,автомат



внедорожник5дв.,бензин

рульслева,37км
"
GAC Trumpchi M6 Pro,"
$28500

2546760сом
",https://im.mashina.kg/tachka/images//e/2/e/e2eb8c82bd7f475779cbd57965386e80_240x180.jpg,"

2023г.,1.5л.,робот



минивэн,бензин

рульслева,1км
"
Changan UNI-K,"
$26800

2331600сом
",https://im.mashina.kg/tachka/images//f/b/5/fb5bf76a795171c8529ff1374d7813d8_240x180.jpg,"

2023г.,2л.,автомат



внедорожник5дв.,бензин

рульслева
"
Voyah Free,"
$44500

3976520сом
",https://im.mashina.kg/tachka/images//2/4/7/2479f51a7b5bc481d239030d4fcc53a5_240x180.jpg,"

2023г.,1.5л.,автомат



внедорожник5дв.,гибрид

рульслева,1км
"
Toyota Highlander,"
$34500

3082920сом
",https://im.mashina.kg/tachka/images//f/4/b/f4bddf307241420de2a0500ffd5e32c0_240x180.jpg,"

2015г.,3.5л.,вариатор



внедорожник5дв.,гибрид

рульслева,137000км
"
Geely Boyue Cool,"
$23800

2126768сом
",https://im.mashina.kg/tachka/images//c/4/8/c48d1fd82ac4d6fdff9904737bc4c1e8_240x180.jpg,"

2023г.,1.5л.,робот



внедорожник5дв.,бензин

рульслева,1км
"
Geely Boyue Cool,"
$22800

2037408сом
",https://im.mashina.kg/tachka/images//8/0/8/8082ec3ca3baba99bf24a5bf3382cd55_240x180.jpg,"

2023г.,1.5л.,робот



внедорожник5дв.,бензин

рульслева,1км
"
Mercedes-Benz C-Класс,"
$26000

2323360сом
",https://im.mashina.kg/tachka/images//6/f/a/6fa0481123354bbf3426a140cdb4390c_240x180.jpg,"

2017г.,2.1л.,автомат



седан,дизель

рульслева,111000км
"
BMW 5 серии,"
$30900

2761224сом
",https://im.mashina.kg/tachka/images//6/a/c/6ac31cbd36b00960cb3cbf5a8bcbfff2_240x180.jpg,"

2017г.,2л.,автомат



седан,дизель

рульслева,141000км
"
Geely Monjaro,"
$30200

2698672сом
",https://im.mashina.kg/tachka/images//4/5/9/4590a8c32dcd4e0a615dc8afc8e5699f_240x180.jpg,"

2023г.,2л.,автомат



внедорожник5дв.,бензин

рульслева,10км
"
EXEED RX,"
$31200

2788032сом
",https://im.mashina.kg/tachka/images//0/9/b/09b86346ac12447780fe9c336d40cd8f_240x180.jpg,"

2023г.,2л.,робот



внедорожник5дв.,бензин

рульслева,1км
"
Kia Carnival,"
$21500

1921240сом
",https://im.mashina.kg/tachka/images//a/3/6/a365090853f8754b249a56b6eab1ec34_240x180.jpg,"

2018г.,2.2л.,автомат



минивэн,дизель

рульслева,110000км
"
Zeekr 001,"
$46800

4182048сом
",https://im.mashina.kg/tachka/images//f/7/6/f76158e3a1ad120152700088321bb258_240x180.jpg,"

2022г.,автомат



лифтбек,электро

рульслева,321км
"
EXEED RX,"
$29500

2636120сом
",https://im.mashina.kg/tachka/images//b/e/5/be5178adf697ab8318d9bc6633eb2376_240x180.jpg,"

2023г.,2л.,робот



внедорожник5дв.,бензин

рульслева,1км
"
Hyundai Sonata,"
$17800

1590608сом
",https://im.mashina.kg/tachka/images//5/2/6/52662de405cfae3860acc8fd5385eb41_240x180.jpg,"

2019г.,2л.,автомат



седан,бензин/газ

рульслева,120000км
"
Land Rover Range Rover,"
$52000

4646720сом
",https://im.mashina.kg/tachka/images//d/b/8/db8411fe0d1b66e590db22ae5dee28ee_240x180.jpg,"

2015г.,4.4л.,автомат



внедорожник5дв.,дизель

рульслева,138000км
"
BMW X6,"
$46500

4155240сом
",https://im.mashina.kg/tachka/images//5/2/b/52bd352979407c469b556597e67448f2_240x180.jpg,"

2017г.,3л.,автомат



внедорожник5дв.,дизель

рульслева,140000км
"
Nissan Patrol,"
$22500

2010600сом
",https://im.mashina.kg/tachka/images//e/6/3/e632fe0e81281f9183d077f36c32793b_240x180.jpg,"

2012г.,5.6л.,автомат



внедорожник5дв.,бензин

рульслева,194000км
"
BMW X5,"
$40999

3663671сом
",https://im.mashina.kg/tachka/images//3/1/5/3152f6cd2624423ca814f596f756d54f_240x180.jpg,"

2016г.,2л.,автомат



внедорожник5дв.,гибрид

рульслева,220000км
"
EXEED RX,"
$32000

2859520сом
",https://im.mashina.kg/tachka/images//0/4/3/043f7db0f43b1eea7f70b898c162a4e9_240x180.jpg,"

2023г.,2л.,автомат



внедорожник5дв.,бензин

рульслева
"
Lexus IS,"
$19000

1697840сом
",https://im.mashina.kg/tachka/images//1/e/6/1e6e182ca5913b3dd4122ac4b1ab6d8f_240x180.jpg,"

2018г.,3.5л.,автомат



седан,бензин

рульслева,150000км
"
Lexus RX,"
$46000

4110560сом
",https://im.mashina.kg/tachka/images//4/8/a/48a3970b4be8f74bee202c7100823886_240x180.jpg,"

2020г.,3.5л.,автомат



внедорожник5дв.,бензин

рульслева,19000км
"
Land Rover Range Rover Sport,"
$50990

4556466сом
",https://im.mashina.kg/tachka/images//a/5/d/a5dcd994d8b015db13335392db3f2ce9_240x180.jpg,"

2016г.,3л.,автомат



внедорожник5дв.,дизель

рульслева,58000км
"
Kia K5 II Седан,"
$17999

1608391сом
",https://im.mashina.kg/tachka/images//7/4/3/743c2e44ae582a294f4641f9eb0b87ea_240x180.jpg,"

2020г.,2л.,автомат



седан,бензин

рульслева,50000км
"
Skoda Rapid,"
$17000

1519120сом
",https://im.mashina.kg/tachka/images//3/f/c/3fc2e04cadc571c7ecdfdf4ad57ffda4_240x180.jpg,"

2020г.,1.6л.,робот



хэтчбек5дв.,дизель

рульслева,85000км
"
Subaru Outback,"
$19000

1697840сом
",https://im.mashina.kg/tachka/images//a/7/9/a79f1d061c96449202ab7847a1c70cce_240x180.jpg,"

2019г.,2.5л.,вариатор



универсал,бензин

рульслева,69000км
"
Kia Optima,"
$16500

1474440сом
",https://im.mashina.kg/tachka/images//d/9/3/d9338fccd5e7a738bcd48cf6a32b4ebf_240x180.jpg,"

2019г.,2.4л.,автомат



седан,бензин

рульслева,57000км
"
Toyota Camry,"
$15800

1411888сом
",https://im.mashina.kg/tachka/images//7/4/c/74c07ccd04e23b92d6319e3d8eeaf805_240x180.jpg,"

2016г.,2.5л.,автомат



седан,бензин

рульслева,181500км
"
Toyota Camry,"
$19500

1742520сом
",https://im.mashina.kg/tachka/images//b/d/2/bd21064115e903c513a8fb9768543bae_240x180.jpg,"

2018г.,2.5л.,автомат



седан,бензин

рульслева,128000км
"
Toyota Land Cruiser,"
$114000

10187040сом
",https://im.mashina.kg/tachka/images//7/0/7/707f2fdb1eb851c267b6c58e10353956_240x180.jpg,"

2023г.,3.4л.,автомат



внедорожник5дв.,бензин

рульслева,5км
"
Chevrolet Malibu,"
$10800

965088сом
",https://im.mashina.kg/tachka/images//0/2/b/02bf21694400c931916504881efff480_240x180.jpg,"

2017г.,1.5л.,автомат



седан,бензин

рульслева,140000км
"
Kia K5 II Седан,"
$16700

1492312сом
",https://im.mashina.kg/tachka/images//2/4/7/2479e7729415f0169551aadd9ceaf545_240x180.jpg,"

2019г.,2л.,автомат



седан,газ

рульслева,55000км
"
Kia Sorento,"
$42000

3753120сом
",https://im.mashina.kg/tachka/images//0/5/6/0560d0e360e8567a58d80564d060c07c_240x180.jpg,"

2022г.,2.5л.,робот



внедорожник5дв.,бензин

рульслева,15000км
"
Kia K7,"
$18500

1653160сом
",https://im.mashina.kg/tachka/images//1/7/d/17dcca7ef394f8edc93236b8c938861e_240x180.jpg,"

2017г.,2.4л.,автомат



седан,бензин

рульслева,139000км
"
Hyundai Sonata,"
$14200

1268912сом
",https://im.mashina.kg/tachka/images//4/c/7/4c79081fdacecff2ef6b7d89983d1f17_240x180.jpg,"

2017г.,2л.,автомат



седан,газ

рульслева,158000км
"
BMW 5 серии,"
$28500

2546760сом
",https://im.mashina.kg/tachka/images//a/b/e/abe8559ba434f87d34716a57d47cbc82_240x180.jpg,"

2018г.,2л.,автомат



седан,дизель

рульслева,265000км
"
Geely Monjaro,"
$29900

2671864сом
",https://im.mashina.kg/tachka/images//7/2/6/72699079d15e2077940530acac6daf93_240x180.jpg,"

2023г.,2л.,автомат



внедорожник5дв.,бензин

рульслева,20км
"
Hyundai Sonata,"
$13400

1197424сом
",https://im.mashina.kg/tachka/images//9/b/1/9b1ce140885f41c56856ce972f82e02a_240x180.jpg,"

2018г.,2л.,автомат



седан,газ

рульслева,150000км
"
Changan UNI-K,"
$23500

2044500сом
",https://im.mashina.kg/tachka/images//7/7/e/77e12d28fbb1c23760062caa8a5290af_240x180.jpg,"

2023г.,2л.,автомат



внедорожник5дв.,бензин

рульслева
"
LiXiang L7,"
$58300

5209688сом
",https://im.mashina.kg/tachka/images//b/7/1/b711332f30cb6da155efaeaf961c85d9_240x180.jpg,"

2023г.,1.5л.,автомат



внедорожник5дв.,гибрид

рульслева,15км
"
Kia K7,"
$22000

1965920сом
",https://im.mashina.kg/tachka/images//3/5/c/35c74267d6239b6aab7a988a03181d15_240x180.jpg,"

2017г.,2.4л.,автомат



седан,бензин

рульслева,200000км
"
